timestamp,open,low,high,close,volume
2021-02-12,5875,5825,5950,5850,0
2021-02-15,6100,5950,6250,5950,178642200
2021-02-16,5975,5900,6000,5925,35796600
2021-02-17,5900,5750,5925,5800,56517500
2021-02-18,5750,5725,5875,5725,56765900
2021-02-19,5725,5725,5850,5775,42627800
2021-02-22,5825,5700,5850,5700,55230300
2021-02-23,5700,5700,5825,5725,60745000
2021-02-24,5775,5600,5850,5625,73050200
2021-02-25,5700,5475,5700,5575,123672200
2021-02-26,5450,5350,5525,5400,146271500
2021-03-01,5500,5450,5600,5600,118418900
2021-03-02,5650,5550,5675,5575,87061500
2021-03-03,5625,5525,5700,5675,49030200
2021-03-04,5675,5525,5700,5575,70766800
2021-03-05,5525,5475,5575,5500,48034400
2021-03-08,5550,5475,5625,5550,55652900
2021-03-09,5550,5400,5650,5525,66908800
2021-03-10,5500,5400,5525,5425,66154200
2021-03-11,5500,5400,5525,5425,0
2021-03-12,5550,5450,5575,5475,87065000
2021-03-15,5525,5500,5625,5525,48489500
2021-03-16,5600,5550,5725,5550,64804400
2021-03-17,5625,5550,5650,5575,61881600
2021-03-18,5675,5625,5800,5725,90338700
2021-03-19,5725,5625,5775,5775,80429800
2021-03-22,5750,5550,5775,5575,57320300
2021-03-23,5550,5550,5675,5575,46973100
2021-03-24,5575,5450,5600,5450,40065300
2021-03-25,5450,5400,5525,5450,49497900
2021-03-26,5525,5475,5600,5600,24880300
2021-03-29,5600,5525,5650,5525,25164100
2021-03-30,5475,5400,5550,5400,55842300
2021-03-31,5450,5225,5450,5275,89835200
2021-04-01,5350,5325,5400,5350,33323600
2021-04-02,5350,5325,5400,5350,0
2021-04-05,5425,5350,5450,5350,29142200
2021-04-06,5375,5300,5400,5350,26040800
2021-04-07,5300,5275,5350,5325,33361900
2021-04-08,5375,5300,5375,5300,43680100
2021-04-09,5300,5275,5400,5275,59348800
2021-04-12,5250,5050,5275,5075,68211200
2021-04-13,5025,5025,5175,5075,53505400
2021-04-14,5150,5100,5275,5250,39277800
2021-04-15,5250,5175,5275,5250,34533700
2021-04-16,5300,5200,5325,5250,38151200
2021-04-19,5225,5200,5250,5200,30832600
2021-04-20,5150,5150,5300,5300,46601200
2021-04-21,5225,5200,5275,5225,47261000
2021-04-22,5225,5225,5500,5450,86785100
2021-04-23,5500,5475,5650,5625,95175600
2021-04-26,5625,5600,5675,5625,65428000
2021-04-27,5625,5475,5650,5525,41552600
2021-04-28,5400,5325,5575,5350,72011700
2021-04-29,5350,5350,5475,5425,43203100
2021-04-30,5450,5375,5550,5500,56668600
2021-05-03,5450,5400,5500,5425,29451000
2021-05-04,5500,5425,5575,5500,39860400
2021-05-05,5525,5475,5600,5525,27270000
2021-05-06,5600,5400,5600,5425,34361400
2021-05-07,5450,5275,5475,5325,30771700
2021-05-10,5350,5350,5425,5375,25429700
2021-05-11,5400,5175,5425,5225,49162600
2021-05-12,5400,5175,5425,5225,0
2021-05-13,5400,5175,5425,5225,0
2021-05-14,5400,5175,5425,5225,0
2021-05-17,5300,5125,5325,5175,47623100
2021-05-18,5150,5100,5200,5150,45784300
2021-05-19,5100,5025,5125,5050,47008800
2021-05-20,5050,5025,5200,5175,49746900
2021-05-21,5175,5050,5225,5050,43416900
2021-05-24,5100,5025,5150,5100,33540000
2021-05-25,5100,5050,5150,5075,45393500
2021-05-26,5100,5050,5150,5075,0
2021-05-27,5100,5075,5225,5150,99709500
2021-05-28,5175,5125,5225,5150,24346700
2021-05-31,5175,5150,5300,5250,41498000
2021-06-01,5175,5150,5300,5250,0
2021-06-02,5350,5275,5350,5325,43217400
2021-06-03,5350,5275,5350,5350,49012700
2021-06-04,5325,5200,5350,5225,35211100
2021-06-07,5225,5200,5300,5250,31693200
2021-06-08,5300,5200,5325,5275,35402300
2021-06-09,5275,5225,5350,5325,24331300
2021-06-10,5400,5325,5425,5400,42924200
2021-06-11,5400,5250,5425,5275,44421700
2021-06-14,5350,5150,5350,5175,40699500
2021-06-15,5175,5125,5200,5150,35915800
2021-06-16,5200,5125,5200,5150,29144900
